Song name,Song link
You Don't Own Me,https://youtu.be/71LewgKrpkc
You Oughta Know,https://youtu.be/NPcyTyilmYY
Given Up,https://youtu.be/0xyxtzD54rM
Before He Cheats,https://youtu.be/WaSy8yy-mr8
Since U Been Gone,https://youtu.be/R7UrFYvl5TE
Female Robbery,https://youtu.be/WGD_0KhU69k
Bury A Friend,https://youtu.be/DJqWZ3Zy5CU
Without Me,https://youtu.be/J6enOG547lk
Holdin On,https://youtu.be/_gL3RUaDu8g
Genesis,https://youtu.be/Joh8VoiOlQg
Hell No,https://youtu.be/79N7Tn2fDjM
RIP to My Youth,https://youtu.be/zQvC7IEn1Y4
You?re Such A,https://youtu.be/41-A1HBaRuE
Now or Never,https://youtu.be/8WJCJTgwCP0
Unstoppable,https://youtu.be/nO5HIJ7Wlkg
Pity Party,https://youtu.be/DTwQl18hlkY
IDGAF,https://youtu.be/C4GGx--QFr8
Never Be Like You,https://youtu.be/no8dc_aZpSA
Ignore Me,https://youtu.be/POlz84Cn8ls
White Flag,https://youtu.be/scBk723GuPQ
Bande,https://youtu.be/yIR76Q3InbY?si=reOvaeJhWBM7PRWZ
Bitch I'm back,https://youtu.be/W5NgXKe4SJk?si=JeE3NQhCrmNfi0g0
Outlaw,https://youtu.be/31SGauVu1JU?si=cOlEbosfmb_SXQ-5
East Side Flow,https://youtu.be/jmigBo42low?si=mx-vQ0HNzXNNbe5i
Lifestyle,https://youtu.be/2JkHn0Kmm3Y?si=O_YABDKraueRsQTJ
