Song name,Song link
Picture,https://youtu.be/rKFx0MMqb48
Cuts Like a Knife,https://youtu.be/6VZhSkREYBc
What It Takes,https://youtu.be/CSnuQcFgvDo
Tujhe Kitna Chahne,https://youtu.be/gQrc2OnbnpY
Phir Bhi Tumko Chaahunga,https://youtu.be/_iktURk0X-A
Hamari Adhuri Kahani,https://youtu.be/f3FFOBrMmdg
Teri Meri Prem Kahani,https://youtu.be/tyxswccv-VU
Zaroorat,https://youtu.be/VMEXKJbsUmE
Do Pai,https://youtu.be/q_U-lbzfiXo
Maana Ke Hum Yaar Nahin,https://youtu.be/k4R39ofX-CQ
Jiyein Kyun Dum Maaro Dum,https://youtu.be/sJW37INWnYk
Kuch Kam,https://youtu.be/JJXPTjNCBj0
Kabhi Alvida Naa Kehna,https://youtu.be/eSuMSTGTExk
Tere Bin,https://youtu.be/hejXc_FSYb8?si=a3GOfstDroZs_ZDQ
