Song name,Song link
You Are My Sunshine,https://youtu.be/aYeGZqTEbec
The Candy Man,https://youtu.be/ksEjVAeK8S0
Banana Boat (Day-O),https://youtu.be/AQXVHITd1N4
Open Up Your Heart (and Let the Sunshine In),https://youtu.be/5SRmQwxQdTU
Fingertips,https://youtu.be/In8fuzj3gck
There Was A Crooked Man,https://youtu.be/LKrcDYvwV1Q
Show Me the Way to Go Home,https://youtu.be/n1gdre5Nij8
Good Vibrations,https://youtu.be/-uAEWFPmAwU
(Don't Fear) The Reaper,https://youtu.be/xjA6yTAKyNA
Run Rabbit Run,https://youtu.be/d0nkLTAUfyA
Hip to Be Square,https://youtu.be/Ruw9fsh3PNY
I Got 5 On It,https://youtu.be/hNCmb-4oXJA
Tubular Bells,https://youtu.be/2GCcj0KZSfE
"Midnight, the Stars and You",https://youtu.be/AmcnnRv58Z4
Mila Tho Marega,https://youtu.be/0gK1SHLtaOo?si=acfA8XJpNKVX6wx4
Scared of the dark,https://youtu.be/zVlFkFmk_NM?si=qPFWuJemXPitROXr
Guts Over Fear,https://youtu.be/iH0WwlQd5-I?si=3ZD5Ct0i-ocdkmIs
The Fear,https://youtu.be/K5U7b_E14cE?si=9_3w_oDAC8id912G
I'll Find You,https://youtu.be/Jv8IqJm6q7w?si=hrzZsZ1h-8tX-Cto
Only Fear of Death,https://youtu.be/VKcOi6PE1cA?si=6x1-YWX3bLk-S1cU
