Song name,Song link
Jhalak Dikhla Jaa Reloaded,https://youtu.be/4yum1sGG86s
Jai Jai Shivshankar,https://youtu.be/oGneAab3e88
Love Mera Hit Hit,https://youtu.be/zG1CLCBNhpo
Laal Ghaghra,https://youtu.be/oWknlFu0D9Q
Kar Gayi Chull,https://youtu.be/iwlUeXLPvf0
Lungi Dance,https://youtu.be/2kWLyInyjOE
Odhani (Made in China),https://youtu.be/xLPglKArWRE
Garmi (Street Dancer 3D),https://youtu.be/kaF_Bq_34IQ
Haan Main Galat (Love Aaj Kal),https://youtu.be/1D3NlXAYJ-Q
Tu Meri (Bang Bang!),https://youtu.be/YAOIbHBEvi0
Deewangi Deewangi (Om Shanti Om),https://youtu.be/VzLG6OqOcn8?si=ZlXhAvU1ha3VX4vY
Muqabla (Street Dancer 3D),https://youtu.be/IVMquMDUQZY
Main Tera Boyfriend (Raabta),https://youtu.be/hQqHFJdSq0M
Shaitan Ka Saala (Housefull 4),https://youtu.be/e0j_YW5QnoQ
Bad Boy (Saaho),https://youtu.be/-wv0yyoGYLI
Makhna (Drive),https://youtu.be/HqUeSjsYLNU
Kudi Nu Nachne De (Angrezi Medium),https://youtu.be/oSpMspvMkSQ
Bandook Meri Lala (A Gentleman),https://youtu.be/HP0L_U8buwY
Safar,https://youtu.be/LsUdoy7EH7M?si=PhLl1gsoi601a-mY
Safarnama,https://youtu.be/sOhESxhibAM?si=XpRvUulICUSdmK0d
Mera Mehboob,https://youtu.be/JKgD6vinf5Q?si=7KRyc4WUAg4KYtIw
O Mere Dil Ke Chain,https://youtu.be/fOvvUYHrud0?si=xKTn4sQACCYl8yNe
Keh Dun Tumhe,https://youtu.be/bNYeo83LUmA?si=EqF2rZX2sfbWFXhH
Keh Dun Tumhe Ya Chup Rahun,https://www.youtube.com/watch?v=bNYeo83LUmA
Aye Mere Humsafar,https://youtu.be/sWqjZpBtcxc?si=pmETj_jzQv96ysGA
Neele Neele Ambar Par,https://youtu.be/nEnLt3pasxE?si=yqsW5NpaOUu3XvG5
My Name Is Lakhan Ram Lakhan,https://youtu.be/kKC1hAcPoI4?si=k9691qm2LC4C28Yl
