Song name,Song link
How to Cry,https://youtu.be/o6fTqjzSZUE
The Other Side of Mt. Heart Attack,https://youtu.be/jwhiXr7Xr_Y
The Waiter,https://youtu.be/5Q7SKhDjzZw
Concrete Angel,https://youtu.be/KtNYA4pAGjI
All Too Well,https://youtu.be/r0yq_yXFQhg
Someone You Loved,https://youtu.be/zABLecsR5UE
Funeral,https://youtu.be/teLyoKBxbCU
Chaotic,https://youtu.be/t6B6nS5ljzU
Matilda,https://youtu.be/lVnzO7opqNs
Nobody,https://youtu.be/qooWnw5rEcI
Tere Bina Zindagi Me Koi Shikwa,https://youtu.be/8-HnmVg0-O8
Dil Ke Arman Aansuo Me Bah Gaye,https://youtu.be/UtNr9YC3gQ0
Sheesha Ho Ya Dil Ho,https://youtu.be/JFT0d0UJWGk
Mera Kuchh Saman Tumhare Pas Pada Hai,https://youtu.be/OlvXDGJAMT0
Tujhe Yaad Na Meri Aayi,https://youtu.be/ZRat8Q_pRnc
Jhonka Hawa Ka,https://youtu.be/-dAUewg_Rwo
Ye Dil Deewana,https://youtu.be/lgv1FsVsRAA
Tu Hi Re,https://youtu.be/P4NwOb39sTQ
Ae Ajnabi,https://youtu.be/gga4bIVcA-A
Judaai,https://youtu.be/t2VaF0ZX65w?si=Pdv6_f8ZPheakpyT
Tu Hi Hai Aashiqui,https://youtu.be/fX41N940bMU?si=1lhDaq6NyLhgB6xw
Tum ho,https://youtu.be/LcIsOnNOlEQ?si=t-zess8S-ljAopWu
Saware,https://youtu.be/CsOsmgUmT9U?si=3LT7lUvXjplysV3X
Zaroori,https://youtu.be/8rVrKAf72Qo?si=CNFgxPg6VaNC6M3q
Hoye Ishq Na,https://youtu.be/FQw9tVytMKs?si=GQ8cbgFgDrH5sNhg
Pyaar Ke Pal,https://youtu.be/NUqlCJTYu6I?si=NBONNK2WdeDGbjQ7
Marham,https://youtu.be/E37xypQUbaQ?si=KAMgi4CaHGHwj6y6
Tho Phir Aao,https://youtu.be/XHFn4ofMS5I?si=8V13YBJkxHgnLswK
Phir Suna,https://youtu.be/YA5QFxSjjKc?si=-t4dUklnozbluuUe
Tu Chodiyon Na,https://youtu.be/3lWvcSrc14o?si=Vprzvf4vO9KRXoT7
Keh Na Sakoon,https://youtu.be/fiwq3C0mzvg?si=_6fNSjDvFVlTCgiQ
