Song name,Song link
Thou Something in the Way (Nirvana),https://youtu.be/SXxXHbvbqno
Daughter Get Lucky (Daft Punk),https://youtu.be/T5Cp55MvX54
Cloud Rat The Needle and the Damage Done (Neil Young),https://youtu.be/Nt8SiNvlsJ8
Teri Baaton Mein Aisa Uljha Jiya,https://youtu.be/XLqmL9cPN1E?si=wwVjxeTInajwsq3N
Chammak Challo,https://youtu.be/oAVhUAaVCVQ?si=FITy-2EP3zqzhtVu
Sawan Mein Lag Gayi Aag,https://youtu.be/7iAmXLrLizM?si=ylA7G2-kCcnrhPRD
Jungle Mein Kaand,https://youtu.be/XV0ipkJcvjQ?si=AA5goP3f3p1S4tTP
Haseeno Ka Deewana,https://youtu.be/ldy17W1xi-c?si=25Xz0Mzw9dbnwMm5
Dard E Disco,https://youtu.be/cKs83ZQxYKA?si=4hakIHY-SYzgUN_g
Aao Kabhi Haveli Pe,https://youtu.be/PkgStlsVaqw?si=zUEnuFgP5GOruove
Jawan: Not Ramaiya Vastavaiya,https://youtu.be/m3OtL4peEWU?si=pHv8OGPc_OALw-_m
Character Dheela,https://youtu.be/ruEQPQX90fI?si=JOcEPYveByXXJiuP
Muqabla,https://youtu.be/l75z7FrYRXI?si=EFPJKhJsqBeUIA4g
Balam Pichkari,https://youtu.be/0WtRNGubWGA?si=Fm2Jl6rY4H8RA6VM

